scenario,forecast_basis,diagnostic,unit,draws,seed,mean,median,p05,p10,p25,p75,p90,p95,evidence_status
reserve_constrained_dacs,conditional,direct_payer_wtp_usd_per_hour,USD_per_hour,200000,69520860832,60.8475351614,38.925667751,8.22546631768,11.548119363,20.5689263535,73.6705263873,130.641290241,183.786119916,prior_driven_structural_diagnostic_not_empirical
reserve_constrained_dacs,conditional,direct_price_compatible,indicator,200000,69520860832,0.657985,1,0,0,0,1,1,1,prior_driven_structural_diagnostic_not_empirical
reserve_constrained_dacs,conditional,direct_price_overlap,proportion,200000,69520860832,0.303517636539,0.31641866816,0,0,0,0.522770502802,0.666889381917,0.733214253223,prior_driven_structural_diagnostic_not_empirical
reserve_constrained_dacs,conditional,direct_supplier_wta_usd_per_hour,USD_per_hour,200000,69520860832,39.9416651375,29.4486314723,8.12234780453,10.7797308439,17.430119277,49.7576483433,80.2370996763,106.423737609,prior_driven_structural_diagnostic_not_empirical
reserve_constrained_dacs,conditional,redirect_cash_latent_credit,causal_credit,200000,69520860832,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,prior_driven_structural_diagnostic_not_empirical
reserve_constrained_dacs,probability_weighted,dac_cash_latent_credit,causal_credit,200000,69530860851,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,prior_driven_structural_diagnostic_not_empirical
reserve_constrained_dacs,probability_weighted,direct_accepted_price_usd_per_hour,USD_per_hour,200000,69530860851,34.0411047429,21.816503803,0,0,0,48.2537212386,85.6106342969,117.463088639,prior_driven_structural_diagnostic_not_empirical
reserve_constrained_dacs,probability_weighted,direct_cash_latent_credit,causal_credit,200000,69530860851,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,prior_driven_structural_diagnostic_not_empirical
reserve_constrained_dacs,probability_weighted,direct_labor_latent_credit,causal_credit,200000,69530860851,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,prior_driven_structural_diagnostic_not_empirical
reserve_constrained_dacs,probability_weighted,direct_payer_wtp_usd_per_hour,USD_per_hour,200000,69530860851,60.9824243288,38.8866632186,8.24268563256,11.6018975976,20.5984393046,73.9796082106,131.45280456,184.195036063,prior_driven_structural_diagnostic_not_empirical
reserve_constrained_dacs,probability_weighted,direct_price_compatible,indicator,200000,69530860851,0.656945,1,0,0,0,1,1,1,prior_driven_structural_diagnostic_not_empirical
reserve_constrained_dacs,probability_weighted,direct_price_overlap,proportion,200000,69530860851,0.303091928685,0.315575251056,0,0,0,0.523766168404,0.667003492179,0.733308000838,prior_driven_structural_diagnostic_not_empirical
